83/07,8.396
83/08,8.764
83/09,8.667
83/10,8.845
83/11,8.769
83/12,8.733
84/01,8.561
84/02,8.766
84/03,8.688
84/04,8.772
84/05,8.733
84/06,8.595
84/07,8.44
84/08,8.442
84/09,8.431
84/10,8.335
84/11,8.448
84/12,8.324
85/01,8.175
85/02,8.564
85/03,8.546
85/04,8.516
85/05,8.453
85/06,8.074
85/07,8.188
85/08,8.137
85/09,7.99
85/10,7.83
85/11,7.909
85/12,7.727
86/01,7.864
86/02,7.979
86/03,7.99
86/04,8.053
86/05,7.824
86/06,8.023
86/07,8.005
86/08,8.239
86/09,8.284
86/10,8.501
86/11,8.378
86/12,8.358
87/01,8.567
87/02,8.662
87/03,8.624
87/04,8.49
87/05,8.429
87/06,8.391
87/07,8.408
87/08,8.335
87/09,8.154
87/10,8.022
87/11,7.756
87/12,7.582
88/01,7.566
88/02,7.376
88/03,7.291
88/04,7.219
88/05,7.174
88/06,7.086
88/07,7.136
88/08,7.075
88/09,6.954
88/10,7.02
88/11,6.802
88/12,6.908
89/01,6.981
89/02,6.897
89/03,6.906
89/04,6.805
89/05,6.822
89/06,6.578
89/07,6.636
89/08,6.73
89/09,6.654
89/10,6.651
89/11,6.636
89/12,6.548
90/01,6.817
90/02,6.587
90/03,6.493
90/04,6.288
90/05,6.301
90/06,6.062
90/07,5.636
90/08,5.808
90/09,5.15
90/10,5.256
90/11,5.006
90/12,4.462
91/01,4.557
91/02,4.543
91/03,4.441
91/04,4.244
91/05,4.584
91/06,4.134
91/07,3.982
91/08,3.91
91/09,3.661
91/10,3.69
91/11,3.553
91/12,3.486
92/01,3.178
92/02,3.3
92/03,3.267
92/04,2.977
92/05,3
92/06,2.835
92/07,2.826
92/08,2.797
92/09,2.584
92/10,2.627
92/11,2.287
92/12,2.355
93/01,2.156
93/02,2.435
93/03,2.282
93/04,2.331
93/05,2.142
93/06,2.258
93/07,2.178
93/08,2.351
93/09,2.293
93/10,2.19
93/11,2.199
93/12,2.159
94/01,2.297
94/02,2.338
94/03,2.414
94/04,2.407
94/05,2.347
94/06,2.258
94/07,2.288
94/08,2.353
94/09,2.267
94/10,2.311
94/11,2.248
94/12,2.285
95/01,2.294
95/02,2.225
95/03,2.304
95/04,2.359
95/05,2.409
95/06,2.346
95/07,2.411
95/08,2.412
95/09,2.378
95/10,2.438
95/11,2.448
95/12,2.374
96/01,2.349
96/02,2.433
96/03,2.468
96/04,2.585
96/05,2.544
96/06,2.95
96/07,2.774
96/08,2.8
96/09,2.793
96/10,2.833
96/11,2.799
96/12,2.847
97/01,2.829
97/02,2.85
97/03,2.845
97/04,2.908
97/05,2.877
97/06,2.89
97/07,2.888
97/08,2.855
97/09,2.879
97/10,2.832
97/11,2.722
97/12,2.348
98/01,1.94
98/02,1.716
98/03,1.555
98/04,1.465
98/05,1.536
98/06,1.532
98/07,1.292
98/08,1.302
98/09,1.577
98/10,1.54
98/11,1.344
98/12,1.341
99/01,1.358
99/02,1.573
99/03,1.502
99/04,1.404
99/05,1.423
99/06,1.459
99/07,1.499
99/08,1.422
99/09,1.464
99/10,1.505
99/11,1.43
99/12,1.392
100/01,1.422
100/02,1.429
100/03,1.49
100/04,1.577
100/05,1.47
100/06,1.529
100/07,1.611
100/08,1.65
100/09,1.602
100/10,1.605
100/11,1.511
100/12,1.531
101/01,1.501
101/02,1.534
101/03,1.588
101/04,1.591
101/05,1.701
101/06,1.686
101/07,1.596
101/08,1.779
101/09,1.572
101/10,1.717
101/11,1.694
101/12,1.519
102/01,1.611
102/02,1.672
102/03,1.591
102/04,1.759
102/05,1.81
102/06,1.71
102/07,1.677
102/08,1.769
102/09,1.676
102/10,1.733
102/11,1.766
102/12,1.689
103/01,1.593
103/02,1.685
103/03,1.616
103/04,1.669
103/05,1.782
103/06,1.708
103/07,1.771
103/08,1.719
103/09,1.53
103/10,1.757
